Id,SalePrice
1461,127358.8375
1462,151629.2332
1463,178814.0811
1464,183699.6605
1465,198110.1619
1466,184041.9674
1467,171012.44
1468,175508.5391
1469,180750.1054
1470,124995.6712
1471,205352.7282
1472,94698.7038
1473,99421.782
1474,153897.9287
1475,129107.5227
1476,384830.0412
1477,250713.7447
1478,301816.9996
1479,276756.4529
1480,460379.4013
1481,305681.9271
1482,207372.2534
1483,181617.5334
1484,172859.1962
1485,172923.2429
1486,199108.9119
1487,322408.5561
1488,236209.6122
1489,210032.9156
1490,212055.9869
1491,191246.7191
1492,98145.75603
1493,179278.6125
1494,298196.316
1495,292946.3547
1496,233024.4996
1497,188776.0475
1498,155036.5922
1499,153468.8414
1500,162180.0959
1501,172721.4625
1502,158287.0872
1503,283470.095
1504,231858.585
1505,216954.9218
1506,178276.4909
1507,241501.1366
1508,195004.1602
1509,159942.4537
1510,150290.8783
1511,150758.7439
1512,168902.2333
1513,148875.6602
1514,153304.1592
1515,200951.703
1516,163572.9378
1517,150239.1653
1518,132792.2164
1519,225890.8764
1520,138548.587
1521,143822.8606
1522,163403.0038
1523,116609.9553
1524,122141.4784
1525,125987.3706
1526,128774.079
1527,108192.8505
1528,126997.893
1529,142989.7505
1530,166857.5067
1531,138240.3458
1532,106780.0807
1533,141745.5401
1534,116234.373
1535,151038.3953
1536,117878.874
1537,93674.52963
1538,167560.7149
1539,225783.5364
1540,122870.4154
1541,142440.1937
1542,140260.5059
1543,198004.2696
1544,84276.8913
1545,105894.5512
1546,125972.0062
1547,136123.2392
1548,130303.7682
1549,116377.2572
1550,142693.4123
1551,120707.1232
1552,150727.6402
1553,141214.0223
1554,116101.1076
1555,169008.1798
1556,98628.53503
1557,119112.7137
1558,92996.64
1559,122266.8807
1560,149827.1548
1561,151583.128
1562,126801.2646
1563,125983.4482
1564,160300.216
1565,154670.9805
1566,229664.7945
1567,85409.67093
1568,221682.5629
1569,146805.6458
1570,135274.5744
1571,130125.0497
1572,143766.4974
1573,236391.1593
1574,128584.8074
1575,217901.7131
1576,232383.6391
1577,205586.3183
1578,147763.6577
1579,143110.1807
1580,187790.9062
1581,141432.112
1582,128283.3529
1583,322575.4761
1584,241418.2941
1585,139421.7573
1586,76575.233
1587,106886.3666
1588,150989.9823
1589,101034.3366
1590,133470.7723
1591,103340.7121
1592,128109.818
1593,119792.1322
1594,145978.3976
